target,state,footprint_bsls,own_cable,own_fiber,pct_own_fiber,another_fiber_filer,pct_another_fiber,another_cable_filer,any_other_filer,pct_contested,pct_uncontested
Cable One (Sparklight),GA,72404,71177,28610,39.51,42889,59.24,23933,53523,73.92,26.08
Cable One (Sparklight),NM,61092,58668,2424,3.97,46711,76.46,44,46753,76.53,23.47
Cable One (Sparklight),LA,57682,57638,44,0.08,17692,30.67,7798,23028,39.92,60.08
Cable One (Sparklight),ND,44612,42990,1640,3.68,10521,23.58,40748,42805,95.95,4.05
Cable One (Sparklight),IA,30792,30529,263,0.85,27211,88.37,162,27220,88.4,11.6
Cable One (Sparklight),KS,27847,17746,10101,36.27,15312,54.99,899,15423,55.38,44.62
Cable One (Sparklight),NE,22921,22811,110,0.48,17585,76.72,10,17594,76.76,23.24
Cable One (Sparklight),MN,14748,14748,0,0.0,773,5.24,14326,14430,97.84,2.16
Cable One (Sparklight),TN,12457,12457,0,0.0,8161,65.51,1,8162,65.52,34.48
Cable One (Sparklight),WA,8554,8554,0,0.0,2696,31.52,0,2696,31.52,68.48
Cable One (Sparklight),OR,6715,6715,0,0.0,1778,26.48,0,1778,26.48,73.52
Cable One (Sparklight),SD,2903,2880,23,0.79,1600,55.12,2356,2534,87.29,12.71
