rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
209,Comcast (Xfinity),"Dycom Holding, Inc.","Dycom Holding, Inc.",2867,0.007,12051,23.791,2867,0
210,Comcast (Xfinity),Court Square Capital Partners,Court Square Capital Partners,2855,0.007,21035,13.573,2855,0
211,Comcast (Xfinity),"Computer Techniques, Inc.","Computer Techniques, Inc.",2768,0.007,29140,9.499,2768,0
212,Comcast (Xfinity),"LightGig Communications, LLC","LightGig Communications, LLC",2760,0.007,2850,96.842,2760,0
213,Comcast (Xfinity),Jefferson County Cable,Jefferson County Cable,2741,0.007,13989,19.594,169,2572
214,Comcast (Xfinity),Scott County Telephone Cooperative,Scott County Telephone Cooperative,2714,0.007,47277,5.741,2714,0
215,Comcast (Xfinity),Netwave Broadband,Netwave Broadband,2691,0.007,9161,29.375,2691,0
216,Comcast (Xfinity),Coastal Electric Membership Corporation,Coastal Electric Membership Corporation,2667,0.007,7535,35.395,2667,0
217,Comcast (Xfinity),"Cambridge TelCom, Inc.","Cambridge TelCom, Inc.",2652,0.007,5209,50.912,2652,0
218,Comcast (Xfinity),"Suwannee Valley Electric Cooperative, Inc.","Suwannee Valley Electric Cooperative, Inc.",2616,0.007,21354,12.251,2616,0
219,Comcast (Xfinity),Telephone Electronics Corporation,Telephone Electronics Corporation,2585,0.007,45372,5.697,2585,0
220,Comcast (Xfinity),Choptank Electric Cooperative,Choptank Electric Cooperative,2556,0.007,13997,18.261,2556,0
221,Comcast (Xfinity),"Home Town Cable TV, LLC","Home Town Cable TV, LLC",2556,0.007,13022,19.628,2550,10
222,Comcast (Xfinity),"Wi-Fiber, Inc.","Wi-Fiber, Inc.",2504,0.006,13266,18.875,2504,0
223,Comcast (Xfinity),"MGW Communications, Inc.","MGW Communications, Inc.",2460,0.006,6301,39.041,2460,0
224,Comcast (Xfinity),City of Mont Belvieu,City of Mont Belvieu,2456,0.006,3457,71.044,2456,0
225,Comcast (Xfinity),City of Anacortes,City of Anacortes,2452,0.006,2468,99.352,2452,0
226,Comcast (Xfinity),"DoveTel Communications, LLC","DoveTel Communications, LLC",2443,0.006,15196,16.077,2443,0
227,Comcast (Xfinity),JMZ Corporation,JMZ Corporation,2418,0.006,34925,6.923,2418,0
228,Comcast (Xfinity),"Zoom Telcom, LLC","Zoom Telcom, LLC",2409,0.006,6244,38.581,2409,0
229,Comcast (Xfinity),Luminate Fiber LLC,Luminate Fiber LLC,2377,0.006,9025,26.338,2377,0
230,Comcast (Xfinity),Optic Loop Communications LLC,Optic Loop Communications LLC,2368,0.006,2549,92.899,2368,0
231,Comcast (Xfinity),Quad State Internet LLC,Quad State Internet LLC,2342,0.006,2376,98.569,2342,0
232,Comcast (Xfinity),"Citynet, LLC","Citynet, LLC",2330,0.006,27601,8.442,2330,0
233,Comcast (Xfinity),"Omni Fiber, LLC","Omni Fiber, LLC",2313,0.006,207853,1.113,2313,0
234,Comcast (Xfinity),Fiberhawk,Fiberhawk,2312,0.006,4722,48.962,2312,0
235,Comcast (Xfinity),Tri-County Electric Membership Corporation,Tri-County Electric Membership Corporation,2305,0.006,31959,7.212,2305,0
236,Comcast (Xfinity),"City of Griffin, Georgia","City of Griffin, Georgia",2292,0.006,2348,97.615,2292,0
237,Comcast (Xfinity),Pioneer Telephone Cooperative (OR),Pioneer Telephone Cooperative (OR),2224,0.006,3893,57.128,2224,0
238,Comcast (Xfinity),Meriwether Lewis Electric Cooperative,Meriwether Lewis Electric Cooperative,2173,0.006,32651,6.655,2173,0
