rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
372,Charter (Spectrum),DMEA Utilities Services LLC,DMEA Utilities Services LLC,987,0.003,6016,16.406,987,0
373,Charter (Spectrum),"Peoples Rural Telephone Cooperative Corporation, Inc.","Peoples Rural Telephone Cooperative Corporation, Inc.",982,0.003,18266,5.376,982,0
374,Charter (Spectrum),COLI Inc.,COLI Inc.,974,0.003,2664,36.562,974,0
375,Charter (Spectrum),Albany Mutual Telephone Association,Albany Mutual Telephone Association,952,0.003,7068,13.469,952,0
376,Charter (Spectrum),"Hub66, Inc.","Hub66, Inc.",935,0.003,5468,17.099,935,0
377,Charter (Spectrum),"Progressive Rural Telephone Co-Op., Inc.","Progressive Rural Telephone Co-Op., Inc.",924,0.003,8627,10.711,924,0
378,Charter (Spectrum),"City of Superior, Wisconsin","City of Superior, Wisconsin",922,0.003,951,96.951,922,0
379,Charter (Spectrum),Midwest Energy Cooperative,Midwest Energy Cooperative,906,0.003,90098,1.006,906,0
380,Charter (Spectrum),Gonthier Inc.,Gonthier Inc.,905,0.003,4374,20.69,905,0
381,Charter (Spectrum),Montana Internet Corporation,Montana Internet Corporation,890,0.002,1482,60.054,890,0
382,Charter (Spectrum),Haefele TV Inc.,Haefele TV Inc.,884,0.002,13845,6.385,791,93
383,Charter (Spectrum),South Central Rural Telecommunications Cooperative Inc.,South Central Rural Telecommunications Cooperative Inc.,853,0.002,33754,2.527,853,0
384,Charter (Spectrum),"Brazos Telephone Cooperative, Inc.","Brazos Telephone Cooperative, Inc.",851,0.002,9390,9.063,851,0
385,Charter (Spectrum),Union River Telephone Company,Union River Telephone Company,846,0.002,3053,27.71,846,0
386,Charter (Spectrum),"Fiber by Central Florida, LLC","Fiber by Central Florida, LLC",843,0.002,34851,2.419,843,0
387,Charter (Spectrum),Aptitude Internet LLC,Aptitude Internet LLC,822,0.002,7008,11.729,822,0
388,Charter (Spectrum),Eclipse Communications,Eclipse Communications,821,0.002,1084,75.738,821,0
389,Charter (Spectrum),"Etex Telephone Cooperative, Inc.","Etex Telephone Cooperative, Inc.",816,0.002,27266,2.993,816,0
390,Charter (Spectrum),Richmond Telephone Company LLC,Richmond Telephone Company LLC,806,0.002,823,97.934,806,0
391,Charter (Spectrum),"Standard Tobacco Company, Inc.","Standard Tobacco Company, Inc.",803,0.002,7768,10.337,0,803
392,Charter (Spectrum),"Air Advantage, LLC","Air Advantage, LLC",796,0.002,2398,33.194,796,0
393,Charter (Spectrum),"Shawnee Communications, Inc.","Shawnee Communications, Inc.",793,0.002,12345,6.424,793,0
394,Charter (Spectrum),"Southern Ohio Communication Services, Inc.","Southern Ohio Communication Services, Inc.",793,0.002,5175,15.324,793,0
395,Charter (Spectrum),"Beamspeed, LLC","Beamspeed, LLC",789,0.002,3845,20.52,315,474
396,Charter (Spectrum),"Country Wireless, LLC","Country Wireless, LLC",787,0.002,849,92.697,787,0
397,Charter (Spectrum),"Varcomm Holdings, Inc.","Varcomm Holdings, Inc.",764,0.002,1030,74.175,764,0
398,Charter (Spectrum),Barbourville Utility Commission,Barbourville Utility Commission,751,0.002,3331,22.546,751,0
399,Charter (Spectrum),"Newmax, LLC","Newmax, LLC",730,0.002,7438,9.814,707,27
400,Charter (Spectrum),"Tri-Co Technologies, LLC","Tri-Co Technologies, LLC",728,0.002,5131,14.188,728,0
401,Charter (Spectrum),Crystal Broadband Networks,Crystal Broadband Networks,716,0.002,7338,9.757,716,0
402,Charter (Spectrum),Tri-County Rural Electric Cooperative,Tri-County Rural Electric Cooperative,700,0.002,18971,3.69,700,0
403,Charter (Spectrum),Court Square Capital Partners,Court Square Capital Partners,699,0.002,21035,3.323,699,0
404,Charter (Spectrum),Arthur Mutual Telephone Company,Arthur Mutual Telephone Company,697,0.002,2844,24.508,697,0
405,Charter (Spectrum),"Mountain Rural Telephone Cooperative Corporation, Inc.","Mountain Rural Telephone Cooperative Corporation, Inc.",695,0.002,19539,3.557,695,0
406,Charter (Spectrum),Axiom Technologies,Axiom Technologies,684,0.002,4862,14.068,684,0
407,Charter (Spectrum),"UpNet WI, LLC","UpNet WI, LLC",679,0.002,832,81.611,679,0
408,Charter (Spectrum),Boston Omaha Corporation,Boston Omaha Corporation,676,0.002,25690,2.631,676,0
409,Charter (Spectrum),American Broadband Holding Company,American Broadband Holding Company,668,0.002,56888,1.174,668,0
410,Charter (Spectrum),"Sweetser Rural Telephone Company, Inc.","Sweetser Rural Telephone Company, Inc.",666,0.002,3002,22.185,666,0
411,Charter (Spectrum),Ravalli Electric Cooperative,Ravalli Electric Cooperative,657,0.002,6579,9.986,657,0
412,Charter (Spectrum),Mid-Hudson Cablevision,Mid-Hudson Cablevision,655,0.002,35818,1.829,626,269
413,Charter (Spectrum),Alamo Broadband Inc.,Alamo Broadband Inc.,654,0.002,1700,38.471,623,31
414,Charter (Spectrum),ENC Access Investments LLC,ENC Access Investments LLC,648,0.002,1694,38.253,648,0
415,Charter (Spectrum),"New Lisbon Telephone Company, Inc.","New Lisbon Telephone Company, Inc.",647,0.002,8569,7.55,647,0
416,Charter (Spectrum),"Progressive Voice & Data, Inc.","Progressive Voice & Data, Inc.",640,0.002,1418,45.134,640,0
417,Charter (Spectrum),McClure Telephone Company,McClure Telephone Company,630,0.002,2622,24.027,630,0
418,Charter (Spectrum),Thumb Electric Cooperative,Thumb Electric Cooperative,626,0.002,16635,3.763,626,0
419,Charter (Spectrum),"Nedelco, Inc.","Nedelco, Inc.",622,0.002,7357,8.455,622,0
420,Charter (Spectrum),"NETworx Broadband, Inc.","NETworx Broadband, Inc.",599,0.002,1562,38.348,599,0
421,Charter (Spectrum),"Nemont Telephone Cooperative, Inc.","Nemont Telephone Cooperative, Inc.",589,0.002,12564,4.688,589,0
422,Charter (Spectrum),"Comelec Services, Inc.","Comelec Services, Inc.",588,0.002,5452,10.785,588,0
423,Charter (Spectrum),"Steelville Telephone Exchange, Inc.","Steelville Telephone Exchange, Inc.",581,0.002,4192,13.86,581,0
424,Charter (Spectrum),"3 Rivers Telephone Cooperative, Inc.","3 Rivers Telephone Cooperative, Inc.",580,0.002,17773,3.263,580,0
425,Charter (Spectrum),Imagine Networks,Imagine Networks,575,0.002,1649,34.87,575,0
426,Charter (Spectrum),Southeastern Indiana Rural Telephone Cooperative,Southeastern Indiana Rural Telephone Cooperative,568,0.002,8326,6.822,568,0
427,Charter (Spectrum),"PATHWAYZ Communications, Inc.","PATHWAYZ Communications, Inc.",542,0.002,16276,3.33,542,0
428,Charter (Spectrum),"AccessOn Networks, Inc.","AccessOn Networks, Inc.",540,0.002,714,75.63,540,0
429,Charter (Spectrum),Franklin Electric Plant Board,Franklin Electric Plant Board,536,0.001,5941,9.022,536,0
430,Charter (Spectrum),"SS Ventures, Inc.","SS Ventures, Inc.",531,0.001,538,98.699,531,0
