target,state,operator,overlap_bsls,target_bsls_in_state,pct_of_target_in_state
Charter (Spectrum),TX,"Eastex Telephone Cooperative, Inc.",445,4854843,0.009
Charter (Spectrum),TX,"WEHCO Video, Inc.",443,4854843,0.009
Charter (Spectrum),TX,Innercity Fibernet LLC,422,4854843,0.009
Charter (Spectrum),TX,RTA of America,290,4854843,0.006
Charter (Spectrum),TX,"Nevill Holdings, Inc.",226,4854843,0.005
Charter (Spectrum),TX,"Colorado Valley Telephone Cooperative, Inc.",195,4854843,0.004
Charter (Spectrum),TX,Boston Omaha Corporation,162,4854843,0.003
Charter (Spectrum),TX,4ip Technology and Media LLC,132,4854843,0.003
Charter (Spectrum),TX,"Southwest Arkansas Electric Cooperative, Inc.",127,4854843,0.003
Charter (Spectrum),TX,"Sprocket Networks, Inc.",92,4854843,0.002
Charter (Spectrum),TX,"VGI Technology, Inc.",49,4854843,0.001
Charter (Spectrum),TX,Simple Fiber Communications LLC,30,4854843,0.001
Charter (Spectrum),TX,"Southwest Arkansas Telephone Cooperative, Inc.",20,4854843,0.0
Charter (Spectrum),TX,"First American Holdings, Inc.",17,4854843,0.0
Charter (Spectrum),TX,PCs for People,7,4854843,0.0
Charter (Spectrum),TX,"Heritage Broadband, LLC",3,4854843,0.0
Charter (Spectrum),TX,"Dell Telephone Cooperative, Inc.",1,4854843,0.0
Charter (Spectrum),VA,Shenandoah Telecommunications Company,21792,115720,18.832
Charter (Spectrum),VA,Point Broadband,20191,115720,17.448
Charter (Spectrum),VA,Eastern Shore of Virginia Broadband Authority,17309,115720,14.958
Charter (Spectrum),VA,Brightspeed,4149,115720,3.585
Charter (Spectrum),VA,Verizon (Fios),2535,115720,2.191
Charter (Spectrum),VA,Mecklenburg Electric Cooperative,325,115720,0.281
Charter (Spectrum),VA,Cox,197,115720,0.17
Charter (Spectrum),VA,Prince George Electric Cooperative,175,115720,0.151
Charter (Spectrum),VA,ZiTEL LLC,168,115720,0.145
Charter (Spectrum),VA,Scott County Telephone Cooperative,115,115720,0.099
Charter (Spectrum),VA,"Eastern Shore Communications, LLC",100,115720,0.086
Charter (Spectrum),VA,Comcast (Xfinity),85,115720,0.073
Charter (Spectrum),VA,"iGo Technology, Inc.",39,115720,0.034
Charter (Spectrum),VA,Gearheart Communications,17,115720,0.015
Charter (Spectrum),VA,Citizens Telephone Cooperative (VA),3,115720,0.003
Charter (Spectrum),VA,Optimum (Altice USA),3,115720,0.003
Charter (Spectrum),VT,Consolidated (Fidium),6539,16568,39.468
Charter (Spectrum),VT,East Central Vermont Telecommunications District,1608,16568,9.705
Charter (Spectrum),VT,NEK Community Broadband,1217,16568,7.345
Charter (Spectrum),VT,Waitsfield & Champlain Valley Telecom,491,16568,2.964
Charter (Spectrum),VT,"Citizens Telephone Company of Hammond NY, Inc.",77,16568,0.465
Charter (Spectrum),VT,Comcast (Xfinity),33,16568,0.199
Charter (Spectrum),VT,Deerfield Valley Communications Union District,1,16568,0.006
Charter (Spectrum),VT,Pear Networks LLC,1,16568,0.006
Charter (Spectrum),VT,Selectronics Corporation,1,16568,0.006
Charter (Spectrum),WA,Ziply Fiber (Bell Canada),84679,246698,34.325
Charter (Spectrum),WA,PUD No. 1 of Chelan County,19223,246698,7.792
Charter (Spectrum),WA,"Native Network, Inc.",18779,246698,7.612
Charter (Spectrum),WA,Lumen (Quantum Fiber / CenturyLink),6124,246698,2.482
Charter (Spectrum),WA,PocketiNet Communications Inc.,5024,246698,2.036
Charter (Spectrum),WA,Columbia Energy LLC,2763,246698,1.12
Charter (Spectrum),WA,Palisade America's Investment LLC,1962,246698,0.795
Charter (Spectrum),WA,Wahkiakum West Inc.,1552,246698,0.629
Charter (Spectrum),WA,Inland Cellular Telephone Company,1303,246698,0.528
Charter (Spectrum),WA,NCI Datacom,1191,246698,0.483
Charter (Spectrum),WA,"Public Utility District of Grant County, Washington",1045,246698,0.424
Charter (Spectrum),WA,"MiFiber Holding, LLC",1004,246698,0.407
Charter (Spectrum),WA,Astound Broadband,444,246698,0.18
Charter (Spectrum),WA,"Gigabeam Internet, LLC",153,246698,0.062
Charter (Spectrum),WA,Northwest Open Access Network,149,246698,0.06
Charter (Spectrum),WA,Okanogan County PUD No. 1,118,246698,0.048
Charter (Spectrum),WA,Advanced Internet,114,246698,0.046
Charter (Spectrum),WA,"IFN, LLC",28,246698,0.011
Charter (Spectrum),WA,xyTel LLC,23,246698,0.009
Charter (Spectrum),WA,"First Step Internet, LLC",21,246698,0.009
Charter (Spectrum),WA,"Fatbeam Holdings, LLC",13,246698,0.005
Charter (Spectrum),WA,Day Management Corporation,8,246698,0.003
Charter (Spectrum),WA,"CresComm WiFi, LLC",4,246698,0.002
Charter (Spectrum),WA,Comcast (Xfinity),2,246698,0.001
Charter (Spectrum),WI,AT&T,334706,1632903,20.498
Charter (Spectrum),WI,TDS Telecom,302928,1632903,18.551
Charter (Spectrum),WI,Frontier,70755,1632903,4.333
Charter (Spectrum),WI,Brightspeed,44139,1632903,2.703
Charter (Spectrum),WI,Lumos (T-Mobile JV),25600,1632903,1.568
Charter (Spectrum),WI,Wood County Telephone Company,16785,1632903,1.028
Charter (Spectrum),WI,Hilbert Communications LLC,14310,1632903,0.876
Charter (Spectrum),WI,Metronet (T-Mobile JV),13204,1632903,0.809
Charter (Spectrum),WI,"Northeast Communications of Wisconsin, Inc.",5250,1632903,0.322
Charter (Spectrum),WI,"Chibardun Telephone Cooperative, Inc.",4569,1632903,0.28
Charter (Spectrum),WI,Reedsburg Utility Commission,4500,1632903,0.276
Charter (Spectrum),WI,American Heartland Fiber Networks LLC,3894,1632903,0.238
Charter (Spectrum),WI,Mount Horeb Telephone Company,3510,1632903,0.215
Charter (Spectrum),WI,Lemonweir Valley Telephone Company,3447,1632903,0.211
Charter (Spectrum),WI,Edge Broadband LLC,3153,1632903,0.193
Charter (Spectrum),WI,"West Wisconsin Telcom Cooperative, Inc.",2964,1632903,0.182
Charter (Spectrum),WI,Bloomer Telephone Company,2415,1632903,0.148
Charter (Spectrum),WI,"Marquette-Adams Telephone Cooperative, Inc.",2312,1632903,0.142
Charter (Spectrum),WI,"Chequamegon Communications Cooperative, Inc.",2214,1632903,0.136
Charter (Spectrum),WI,Amherst Telephone Company,2035,1632903,0.125
Charter (Spectrum),WI,"Richland-Grant Telephone Cooperative, Inc.",1975,1632903,0.121
Charter (Spectrum),WI,"Hillsboro Telephone Company, Inc.",1553,1632903,0.095
Charter (Spectrum),WI,"Citizens Telephone Cooperative, Inc. (WI)",1529,1632903,0.094
Charter (Spectrum),WI,Bertram Communications LLC,1193,1632903,0.073
Charter (Spectrum),WI,Sharon Telephone Company (IL & WI),1189,1632903,0.073
Charter (Spectrum),WI,"City of Superior, Wisconsin",922,1632903,0.056
Charter (Spectrum),WI,"Country Wireless, LLC",787,1632903,0.048
Charter (Spectrum),WI,Sonic,784,1632903,0.048
Charter (Spectrum),WI,"UpNet WI, LLC",679,1632903,0.042
Charter (Spectrum),WI,"Comelec Services, Inc.",588,1632903,0.036
Charter (Spectrum),WI,"LaValle Telephone Cooperative, Inc.",420,1632903,0.026
Charter (Spectrum),WI,"Vernon Telephone Cooperative, Inc.",305,1632903,0.019
Charter (Spectrum),WI,Mediacom,259,1632903,0.016
Charter (Spectrum),WI,SonicNet Inc.,195,1632903,0.012
Charter (Spectrum),WI,"Bruce Telephone Company, Inc.",166,1632903,0.01
Charter (Spectrum),WI,Rural Communications Holding Corporation,147,1632903,0.009
Charter (Spectrum),WI,Coon Valley Farmers Telephone Company,125,1632903,0.008
Charter (Spectrum),WI,Wittenberg Telephone Company,112,1632903,0.007
Charter (Spectrum),WI,"Clear Lake Telephone Company, Inc.",96,1632903,0.006
Charter (Spectrum),WI,"Tri-County Communications Cooperative, Inc.",96,1632903,0.006
Charter (Spectrum),WI,"Geneva On-Line, Inc.",90,1632903,0.006
Charter (Spectrum),WI,"Lakeland Communications, Inc.",86,1632903,0.005
Charter (Spectrum),WI,"Siren Telephone Company, Inc.",49,1632903,0.003
Charter (Spectrum),WI,"ResTech Services, LLC",46,1632903,0.003
Charter (Spectrum),WI,PCs for People,43,1632903,0.003
Charter (Spectrum),WI,"Netwurx, LLC",21,1632903,0.001
Charter (Spectrum),WI,Cochrane Cooperative Telephone Company,20,1632903,0.001
Charter (Spectrum),WI,Comcast (Xfinity),12,1632903,0.001
Charter (Spectrum),WI,Lumen (Quantum Fiber / CenturyLink),10,1632903,0.001
Charter (Spectrum),WI,Consolidated (Fidium),5,1632903,0.0
Charter (Spectrum),WI,"Starwire Technologies, LLC",3,1632903,0.0
Charter (Spectrum),WI,"Amery Telcom, Inc.",2,1632903,0.0
Charter (Spectrum),WI,"Hiawatha Broadband Communications, Inc.",2,1632903,0.0
Charter (Spectrum),WI,"Hoyos Consulting, LLC",2,1632903,0.0
Charter (Spectrum),WI,"MachTen, Inc.",2,1632903,0.0
Charter (Spectrum),WV,Frontier,21719,30380,71.491
Charter (Spectrum),WV,"Citynet, LLC",3621,30380,11.919
Charter (Spectrum),WV,Comcast (Xfinity),1545,30380,5.086
Charter (Spectrum),WV,Optimum (Altice USA),560,30380,1.843
Charter (Spectrum),WV,"TelAtlantic, Inc.",62,30380,0.204
Charter (Spectrum),WY,Bluepeak,49196,126500,38.89
Charter (Spectrum),WY,"Visionary Communications, Inc.",21285,126500,16.826
Charter (Spectrum),WY,"BHT Holdings, Inc.",8328,126500,6.583
Charter (Spectrum),WY,"Range Telephone Cooperative, Inc.",5350,126500,4.229
Charter (Spectrum),WY,"Horizon Communications, Inc.",3126,126500,2.471
Charter (Spectrum),WY,Lumen (Quantum Fiber / CenturyLink),2459,126500,1.944
Charter (Spectrum),WY,Mountain West Technologies Corporation,1111,126500,0.878
Charter (Spectrum),WY,Wyoming.Com,385,126500,0.304
Charter (Spectrum),WY,Northern Arapaho Tribal Industries,192,126500,0.152
Charter (Spectrum),WY,LARIAT,1,126500,0.001
Charter (Spectrum),WY,Ziply Fiber (Bell Canada),1,126500,0.001
Cox,AR,AT&T,83179,233621,35.604
Cox,AR,"Ozarks Electric Cooperative, Inc.",45127,233621,19.316
Cox,AR,Ritter,17967,233621,7.691
Cox,AR,Arkansas Valley Electric Cooperative Corporation,17560,233621,7.516
Cox,AR,"Dobson Technologies, Inc.",10041,233621,4.298
Cox,AR,Brightspeed,8955,233621,3.833
Cox,AR,"D D & B, Inc.",7698,233621,3.295
Cox,AR,Windstream/Uniti (Kinetic),6146,233621,2.631
Cox,AR,Optimum (Altice USA),2,233621,0.001
Cox,AR,"NATCO Communications, Inc.",1,233621,0.0
Cox,AR,"Northeast Rural Services, Inc.",1,233621,0.0
Cox,AZ,Lumen (Quantum Fiber / CenturyLink),310905,1737896,17.89
Cox,AZ,Wyyerd,137004,1737896,7.883
Cox,AZ,Google Fiber,55867,1737896,3.215
Cox,AZ,AT&T,53393,1737896,3.072
Cox,AZ,"Schurz Communications, Inc.",35781,1737896,2.059
Cox,AZ,Mediacom,19809,1737896,1.14
Cox,AZ,"Generate-Ubiquity Holdings, LLC",17037,1737896,0.98
Cox,AZ,BAM Broadband OpCo LLC,10669,1737896,0.614
Cox,AZ,Allo Communications LLC,6922,1737896,0.398
Cox,AZ,Boston Omaha Corporation,6914,1737896,0.398
Cox,AZ,Metronet (T-Mobile JV),3319,1737896,0.191
Cox,AZ,Comcast (Xfinity),3091,1737896,0.178
Cox,AZ,Hotwire,89,1737896,0.005
Cox,AZ,Wecom LLC,7,1737896,0.0
Cox,AZ,Saddleback Communications Inc.,6,1737896,0.0
Cox,AZ,"Consolidated Smart Broadband Systems, LLC",4,1737896,0.0
Cox,CA,AT&T,199397,806911,24.711
Cox,CA,Frontier,45064,806911,5.585
Cox,CA,Wyyerd,41473,806911,5.14
Cox,CA,Charter (Spectrum),22166,806911,2.747
Cox,CA,Google Fiber,21034,806911,2.607
Cox,CA,"Cityside Networks, LLC",18934,806911,2.346
Cox,CA,Ting,7425,806911,0.92
Cox,CA,"Generate-Ubiquity Holdings, LLC",2584,806911,0.32
Cox,CA,Astound Broadband,322,806911,0.04
Cox,CA,"Race Telecommunications, Inc.",63,806911,0.008
Cox,CA,Comcast (Xfinity),38,806911,0.005
Cox,CA,Golden Rain Foundation,36,806911,0.004
Cox,CA,"Orion CableSystems, Inc.",29,806911,0.004
Cox,CA,Sonic,9,806911,0.001
Cox,CA,"Broadband MDU Holdings, LLC",2,806911,0.0
Cox,CA,"IsoFusion, Inc.",1,806911,0.0
Cox,CT,Frontier,104233,139298,74.827
Cox,CT,"Future Fiber FinCo, LLC",65735,139298,47.19
Cox,CT,Comcast (Xfinity),926,139298,0.665
Cox,CT,Charter (Spectrum),36,139298,0.026
Cox,FL,AT&T,120932,293521,41.2
Cox,FL,"LiveOak Fiber, LLC",50628,293521,17.249
Cox,FL,"IQ Fiber Intermediate Holdings, LLC",19176,293521,6.533
Cox,FL,"Pavlov Media, Inc.",18029,293521,6.142
Cox,FL,Lumen (Quantum Fiber / CenturyLink),15402,293521,5.247
Cox,FL,Lumos (T-Mobile JV),14646,293521,4.99
Cox,FL,Wire 3 Holdings,9459,293521,3.223
Cox,FL,Charter (Spectrum),6910,293521,2.354
Cox,FL,Metronet (T-Mobile JV),6608,293521,2.251
Cox,FL,Windstream/Uniti (Kinetic),3092,293521,1.053
Cox,FL,Mediacom,1879,293521,0.64
Cox,FL,City of Valparaiso,1348,293521,0.459
Cox,FL,"Zito West Holding, LLC",754,293521,0.257
Cox,FL,Comcast (Xfinity),216,293521,0.074
Cox,FL,Consolidated (Fidium),154,293521,0.052
Cox,FL,City of Ocala,149,293521,0.051
Cox,FL,"Telapex, Inc.",147,293521,0.05
Cox,FL,Hotwire,41,293521,0.014
Cox,FL,"Fiber by Central Florida, LLC",39,293521,0.013
Cox,FL,Velofi LLC,19,293521,0.006
Cox,FL,Point Broadband,11,293521,0.004
Cox,FL,EATEL Corp.,11,293521,0.004
Cox,FL,Oak Run Associates Ltd.,4,293521,0.001
Cox,GA,AT&T,31054,118765,26.147
Cox,GA,Cable One (Sparklight),29820,118765,25.108
Cox,GA,Windstream/Uniti (Kinetic),16975,118765,14.293
Cox,GA,"Conexon Connect, LLC",10022,118765,8.439
Cox,GA,Tri-County Electric Membership Corporation,2748,118765,2.314
Cox,GA,"Public Service Communications, Inc.",2697,118765,2.271
Cox,GA,"Zito West Holding, LLC",505,118765,0.425
Cox,GA,"Delta Communications, LLC",151,118765,0.127
Cox,GA,Velofi LLC,18,118765,0.015
Cox,GA,Comcast (Xfinity),8,118765,0.007
Cox,GA,Charter (Spectrum),3,118765,0.003
Cox,IA,Google Fiber,9897,25997,38.07
Cox,IA,Lumen (Quantum Fiber / CenturyLink),6643,25997,25.553
Cox,IA,Metronet (T-Mobile JV),4296,25997,16.525
Cox,IA,Breda Telephone Corp.,1237,25997,4.758
Cox,IA,"Great Plains Communications, Inc.",412,25997,1.585
Cox,ID,Lumen (Quantum Fiber / CenturyLink),94,10524,0.893
Cox,KS,AT&T,198678,413015,48.104
Cox,KS,"IdeaTek Telcom, LLC",109454,413015,26.501
Cox,KS,AMG Technology Investment Group LLC,46371,413015,11.227
Cox,KS,Rural Telephone Service Company,14123,413015,3.419
Cox,KS,"Twin Valley Management, Inc.",12929,413015,3.13
Cox,KS,Craw-Kan Telephone Cooperative Inc.,11000,413015,2.663
Cox,KS,Brightspeed,10176,413015,2.464
Cox,KS,"Wamego Telephone Company, Inc.",9704,413015,2.35
Cox,KS,"Delta Communications, LLC",8386,413015,2.03
Cox,KS,"The Butler Rural Electric Cooperative Association, Inc.",5659,413015,1.37
Cox,KS,"PGB Fiber, LLC",4517,413015,1.094
Cox,KS,Mutual Telephone Company (KS),4413,413015,1.068
Cox,KS,JMZ Corporation,3864,413015,0.936
Cox,KS,LICT Corporation,3793,413015,0.918
Cox,KS,"Back 2 Roots, LLC",3233,413015,0.783
Cox,KS,"Golden Belt Telephone Association, Inc",1927,413015,0.467
Cox,KS,"KanOkla Telephone Association, Inc.",1353,413015,0.328
Cox,KS,H&B Enterprises Inc.,971,413015,0.235
Cox,KS,"South Central Telephone Association, Inc.",355,413015,0.086
Cox,KS,"Blue Valley Tele-Communications, Inc.",284,413015,0.069
Cox,KS,"Home Enterprises, Inc.",214,413015,0.052
Cox,KS,City of Coffeyville,134,413015,0.032
Cox,KS,"United Telephone Association, Inc.",18,413015,0.004
Cox,KS,"Golden Wheat, Inc.",5,413015,0.001
Cox,KS,Columbus Telephone Company,2,413015,0.0
Cox,KS,"LaHarpe Telephone Company, Inc. (KS)",1,413015,0.0
Cox,LA,AT&T,375392,694601,54.044
Cox,LA,Lafayette City Parish Consolidated Government,70868,694601,10.203
Cox,LA,EATEL Corp.,52811,694601,7.603
Cox,LA,Brightspeed,7128,694601,1.026
Cox,LA,Metronet (T-Mobile JV),6174,694601,0.889
Cox,LA,"Kaplan Telephone Company, Inc.",2874,694601,0.414
Cox,LA,Optimum (Altice USA),1297,694601,0.187
Cox,LA,"Cajun Broadband, Inc.",1257,694601,0.181
Cox,LA,Delcambre Telephone Co.,1001,694601,0.144
Cox,LA,Direct Management Company,630,694601,0.091
Cox,LA,Charter (Spectrum),386,694601,0.056
Cox,LA,"Allen's TV Cable Service, Inc.",151,694601,0.022
Cox,LA,"Zito West Holding, LLC",136,694601,0.02
Cox,LA,Gonthier Inc.,99,694601,0.014
Cox,LA,Comcast (Xfinity),15,694601,0.002
Cox,LA,Cable One (Sparklight),1,694601,0.0
Cox,MA,Comcast (Xfinity),56,1451,3.859
Cox,MA,Verizon (Fios),53,1451,3.653
Cox,MA,Charter (Spectrum),19,1451,1.309
Cox,MO,McDonald County Telephone Company,4,4,100.0
Cox,NC,Brightspeed,1350,2680,50.373
Cox,NC,Mediacom,1219,2680,45.485
Cox,NE,Lumen (Quantum Fiber / CenturyLink),112690,242171,46.533
Cox,NE,Metronet (T-Mobile JV),37675,242171,15.557
Cox,NE,"Generate-Ubiquity Holdings, LLC",35099,242171,14.493
Cox,NE,Allo Communications LLC,35020,242171,14.461
Cox,NE,Google Fiber,22460,242171,9.274
Cox,NE,American Broadband Holding Company,20530,242171,8.477
Cox,NE,"Great Plains Communications, Inc.",8060,242171,3.328
Cox,NE,Windstream/Uniti (Kinetic),499,242171,0.206
Cox,NE,Alpine Connective LLC,12,242171,0.005
Cox,NE,"Block Communications, Inc.",10,242171,0.004
Cox,NE,"Skywave Wireless, Inc.",9,242171,0.004
Cox,NE,Aureon Network Services Inc.,1,242171,0.0
Cox,NV,Lumen (Quantum Fiber / CenturyLink),200165,663487,30.169
Cox,NV,AT&T,14452,663487,2.178
Cox,NV,Hotwire,85,663487,0.013
Cox,NV,"Broadband MDU Holdings, LLC",3,663487,0.0
Cox,OH,AT&T,67226,82413,81.572
Cox,OH,Breezeline (Cogeco),43085,82413,52.279
Cox,OH,Charter (Spectrum),5862,82413,7.113
Cox,OH,Windstream/Uniti (Kinetic),49,82413,0.059
Cox,OH,PCs for People,23,82413,0.028
Cox,OK,AT&T,416705,713421,58.409
Cox,OK,Oklahoma Electric Cooperative,47088,713421,6.6
Cox,OK,Windstream/Uniti (Kinetic),28577,713421,4.006
Cox,OK,Metronet (T-Mobile JV),14967,713421,2.098
Cox,OK,Bluepeak,9655,713421,1.353
Cox,OK,Bixby Telephone Company,8845,713421,1.24
Cox,OK,"Dobson Technologies, Inc.",8368,713421,1.173
Cox,OK,Vyve Broadband,7186,713421,1.007
Cox,OK,"WEHCO Video, Inc.",5207,713421,0.73
Cox,OK,Lake Region Technology & Communications LLC,2996,713421,0.42
Cox,OK,"City of El Reno, Oklahoma",2247,713421,0.315
Cox,OK,East Central Oklahoma Electric Cooperative,2147,713421,0.301
Cox,OK,Arkansas Valley Electric Cooperative Corporation,2049,713421,0.287
Cox,OK,"NBVDS Investment, LLC",1079,713421,0.151
Cox,OK,Central Rural Electric Cooperative,1046,713421,0.147
Cox,OK,Pioneer Telephone Cooperative (OK),847,713421,0.119
Cox,OK,"Osage, LLC",681,713421,0.095
Cox,OK,TDS Telecom,653,713421,0.092
Cox,OK,AirLink Internet Services,413,713421,0.058
Cox,OK,"Grid Southwest, LLC",392,713421,0.055
Cox,OK,"Northeast Rural Services, Inc.",248,713421,0.035
Cox,OK,Cookson Hills Electric Cooperative,222,713421,0.031
Cox,OK,"Totah Communications, Inc.",102,713421,0.014
Cox,OK,Brightspeed,13,713421,0.002
Cox,OK,Optimum (Altice USA),7,713421,0.001
Cox,RI,Verizon (Fios),256531,316010,81.178
Cox,RI,"WH i3B Bidco LLC/WH i3B Topco, LLC",15914,316010,5.036
Cox,RI,Comcast (Xfinity),195,316010,0.062
Cox,RI,Charter (Spectrum),45,316010,0.014
Cox,RI,Breezeline (Cogeco),7,316010,0.002
Cox,VA,Verizon (Fios),533985,802083,66.575
Cox,VA,Shenandoah Telecommunications Company,69085,802083,8.613
Cox,VA,Metronet (T-Mobile JV),51638,802083,6.438
Cox,VA,Lumos (T-Mobile JV),36580,802083,4.561
Cox,VA,Comcast (Xfinity),4267,802083,0.532
Cox,VA,Astound Broadband,3074,802083,0.383
Cox,VA,Wilkes Telephone Membership Corporation,432,802083,0.054
Cox,VA,Charter (Spectrum),197,802083,0.025
Cox,VA,ZiTEL LLC,124,802083,0.015
Cox,VA,Citizens Telephone Cooperative (VA),18,802083,0.002
Cox,VA,Boston Omaha Corporation,16,802083,0.002
Cox,VA,Mediacom,3,802083,0.0
Optimum (Altice USA),AR,Ritter,42855,185597,23.09
Optimum (Altice USA),AR,Brightspeed,27962,185597,15.066
Optimum (Altice USA),AR,First Electric Cooperative Corporation,26788,185597,14.433
Optimum (Altice USA),AR,AT&T,21582,185597,11.628
Optimum (Altice USA),AR,CG Computer Works LLC,12133,185597,6.537
Optimum (Altice USA),AR,Comcast (Xfinity),10643,185597,5.734
Optimum (Altice USA),AR,"North Arkansas Electric Cooperative, Inc.",7655,185597,4.125
Optimum (Altice USA),AR,South Central Arkansas Electric Cooperative,5737,185597,3.091
Optimum (Altice USA),AR,Craighead Elecric Cooperative Corporation,4010,185597,2.161
Optimum (Altice USA),AR,"Yelcot Holding Group, Inc.",3320,185597,1.789
Optimum (Altice USA),AR,"City of Clarksville, Arkansas",3009,185597,1.621
Optimum (Altice USA),AR,"CableSouth Media III, LLC",2843,185597,1.532
Optimum (Altice USA),AR,Arkansas Valley Electric Cooperative Corporation,2575,185597,1.387
Optimum (Altice USA),AR,"Ripple Fiber, LLC",2138,185597,1.152
Optimum (Altice USA),AR,Windstream/Uniti (Kinetic),2068,185597,1.114
Optimum (Altice USA),AR,"NATCO Communications, Inc.",2011,185597,1.084
Optimum (Altice USA),AR,"Clay County Connect, Inc.",1608,185597,0.866
Optimum (Altice USA),AR,Farmer Electric Cooperative Corporation,1518,185597,0.818
Optimum (Altice USA),AR,"Ind. Co. Cable TV, Inc.",1464,185597,0.789
Optimum (Altice USA),AR,Red River Cellular Telephone Corporation,1372,185597,0.739
Optimum (Altice USA),AR,"WEHCO Video, Inc.",749,185597,0.404
Optimum (Altice USA),AR,"Hillbilly Wireless Internet, Inc.",614,185597,0.331
Optimum (Altice USA),AR,Premier Holdings LLC,523,185597,0.282
Optimum (Altice USA),AR,"Townes Telecommunications, Inc.",277,185597,0.149
Optimum (Altice USA),AR,Aristotle Unified Communications Inc.,206,185597,0.111
Optimum (Altice USA),AR,"Central Arkansas Telephone Cooperative, Inc.",84,185597,0.045
Optimum (Altice USA),AR,"Enlightened by Woodruff Electric, LLC",70,185597,0.038
Optimum (Altice USA),AR,Cable One (Sparklight),8,185597,0.004
Optimum (Altice USA),AR,Conway Corporation,6,185597,0.003
Optimum (Altice USA),AR,"Southwest Arkansas Electric Cooperative, Inc.",3,185597,0.002
Optimum (Altice USA),AR,Cox,2,185597,0.001
Optimum (Altice USA),AR,Petit Jean Electric Cooperative Corp.,2,185597,0.001
Optimum (Altice USA),AR,"Southwest Arkansas Telephone Cooperative, Inc.",2,185597,0.001
Optimum (Altice USA),AR,"C & L Broadband Connect, LLC",1,185597,0.001
Optimum (Altice USA),AZ,Allo Communications LLC,53152,159486,33.327
Optimum (Altice USA),AZ,"PCC Holdings, Inc.",23901,159486,14.986
Optimum (Altice USA),AZ,Cable One (Sparklight),5094,159486,3.194
Optimum (Altice USA),AZ,Wecom LLC,3046,159486,1.91
Optimum (Altice USA),AZ,Lumen (Quantum Fiber / CenturyLink),1000,159486,0.627
Optimum (Altice USA),AZ,Frontier,428,159486,0.268
Optimum (Altice USA),AZ,"Fort Mojave Telecommunications, Inc.",18,159486,0.011
Optimum (Altice USA),CA,"VFN Holdings, Inc.",8371,84903,9.859
Optimum (Altice USA),CA,Frontier,6666,84903,7.851
Optimum (Altice USA),CA,AT&T,3258,84903,3.837
Optimum (Altice USA),CA,Astound Broadband,1181,84903,1.391
Optimum (Altice USA),CA,Comcast (Xfinity),1001,84903,1.179
Optimum (Altice USA),CA,Plumas-Sierra Rural Electric Cooperative,576,84903,0.678
Optimum (Altice USA),CA,Charter (Spectrum),486,84903,0.572
Optimum (Altice USA),CA,"Race Telecommunications, Inc.",95,84903,0.112
Optimum (Altice USA),CA,Hunter Communications & Technologies LLC,60,84903,0.071
Optimum (Altice USA),CA,Sebastian Enterprises,12,84903,0.014
Optimum (Altice USA),CA,Inyo Networks Inc.,4,84903,0.005
Optimum (Altice USA),CT,Frontier,175334,214870,81.6
Optimum (Altice USA),CT,Comcast (Xfinity),92617,214870,43.104
Optimum (Altice USA),CT,"Future Fiber FinCo, LLC",44291,214870,20.613
Optimum (Altice USA),CT,Verizon (Fios),10367,214870,4.825
Optimum (Altice USA),CT,Charter (Spectrum),1069,214870,0.498
Optimum (Altice USA),CT,"Decatur Holding Company, Inc.",1,214870,0.0
Optimum (Altice USA),ID,Ziply Fiber (Bell Canada),6643,11427,58.134
Optimum (Altice USA),ID,"Newmax, LLC",1143,11427,10.003
Optimum (Altice USA),ID,Inland Cellular Telephone Company,3,11427,0.026
Optimum (Altice USA),ID,"Fatbeam Holdings, LLC",1,11427,0.009
Optimum (Altice USA),KS,Comcast (Xfinity),5139,13777,37.301
Optimum (Altice USA),KS,JMZ Corporation,3509,13777,25.47
Optimum (Altice USA),KS,Craw-Kan Telephone Cooperative Inc.,3495,13777,25.368
Optimum (Altice USA),KS,"Delta Communications, LLC",2713,13777,19.692
Optimum (Altice USA),KS,Brightspeed,1812,13777,13.152
Optimum (Altice USA),KS,"Peoples Telecommunications, LLC",1480,13777,10.743
Optimum (Altice USA),KS,"South Central Telephone Association, Inc.",1077,13777,7.817
Optimum (Altice USA),KS,"Townes Telecommunications, Inc.",380,13777,2.758
Optimum (Altice USA),KS,"Everfast Fiber Networks, LLC",163,13777,1.183
Optimum (Altice USA),KS,Google Fiber,157,13777,1.14
Optimum (Altice USA),KS,AT&T,124,13777,0.9
Optimum (Altice USA),KS,Charter (Spectrum),67,13777,0.486
Optimum (Altice USA),KY,"Foothills Rural Telephone Cooperative Corporation, Inc.",4013,28173,14.244
Optimum (Altice USA),KY,Russellville Electric Plant Board,3640,28173,12.92
Optimum (Altice USA),KY,Gearheart Communications,2500,28173,8.874
Optimum (Altice USA),KY,Windstream/Uniti (Kinetic),1330,28173,4.721
Optimum (Altice USA),KY,"Logan Telephone Cooperative, Inc.",1102,28173,3.912
Optimum (Altice USA),KY,Charter (Spectrum),56,28173,0.199
Optimum (Altice USA),KY,"Electric Plant Board of the City of Hopkinsville, Kentucky",19,28173,0.067
Optimum (Altice USA),KY,Shenandoah Telecommunications Company,14,28173,0.05
Optimum (Altice USA),KY,"Eastern Telephone & Technologies, Inc.",1,28173,0.004
Optimum (Altice USA),LA,AT&T,69716,213667,32.628
Optimum (Altice USA),LA,Metronet (T-Mobile JV),43667,213667,20.437
